matrix_size = 1000 x 1000
omega_size = 3000

beta	lam	totTime	error
2	0.1	41.031842947	0.156330016147
2	0.2	44.0033040047	0.156330016147
2	0.3	38.3301529884	0.156330016147
2	0.4	39.2784059048	0.156330016147
2	0.5	37.8361301422	0.156330016147
2	0.6	37.819633007	0.156330016147
2	0.7	39.8173558712	0.156330016147
2	0.8	44.1133680344	0.156330016147
2	0.9	38.4587321281	0.156330016147
2	1.0	43.1782569885	0.156330016147
3	0.1	23.0153491497	0.692165254899
3	0.2	23.0900030136	0.692165254899
3	0.3	23.3043110371	0.692165254899
3	0.4	23.0798640251	0.692165254899
3	0.5	23.4919199944	0.692165254899
3	0.6	23.3510930538	0.692165254899
3	0.7	23.5280828476	0.692165254899
3	0.8	23.0316419601	0.692165254899
3	0.9	25.6221280098	0.692165254899
3	1.0	24.0339109898	0.692165254899
4	0.1	16.8147311211	0.949182228866
4	0.2	17.4348430634	0.949182228866
4	0.3	17.0098390579	0.949182228866
4	0.4	17.2830228806	0.949182228866
4	0.5	17.3739039898	0.949182228866
4	0.6	16.3592569828	0.949182228866
4	0.7	16.3703360558	0.949182228866
4	0.8	17.3113160133	0.949182228866
4	0.9	16.9075880051	0.949182228866
4	1.0	17.7969360352	0.949182228866
5	0.1	15.3336088657	0.983058195924
5	0.2	14.8396780491	0.983058195924
5	0.3	15.0788919926	0.983058195924
5	0.4	14.9320290089	0.983058195924
5	0.5	14.6675610542	0.983058195924
5	0.6	14.4510331154	0.983058195924
5	0.7	14.5262060165	0.983058195924
5	0.8	14.866838932	0.983058195924
5	0.9	14.6921820641	0.983058195924
5	1.0	14.8384609222	0.983058195924

matrix_size = 100 x 10000
omega_size = 50000

2 0.5 663.505262852 0.263296887488
